row_id,timestamp,consensus,node_count,network_latency_ms,tx_throughput_tps,energy_joules_per_min,security_risk_score,vehicle_count,vehicle_count_variability,fault_tolerance_requirement,notes
66,2026-02-04T15:46:44.502509,PoW,9,425.47,18.91,211595.19,0.1,180,3.05,0.3878,
67,2026-02-04T15:46:44.502509,PoS,3,94.16,248.55,88577.94,0.1618,180,3.05,0.418,
68,2026-02-04T15:46:44.502509,Raft,4,72.16,1.0,151.43,0.1247,180,3.05,0.6069,
69,2026-02-04T15:46:44.502509,PBFT,7,197.96,373.26,273522.67,0.1348,180,3.05,0.7593,
70,2026-02-04T15:46:44.502509,HotStuff,7,78.63,1384.22,586078.52,0.0999,180,3.05,0.719,
71,2026-02-04T15:47:44.502509,PoW,9,390.84,44.02,453240.86,0.1596,188,12.84,0.3959,
72,2026-02-04T15:47:44.502509,PoS,3,104.77,346.85,130385.82,0.231,188,12.84,0.4844,
73,2026-02-04T15:47:44.502509,Raft,4,23.39,1.0,268.25,0.2083,188,12.84,0.5776,
74,2026-02-04T15:47:44.502509,PBFT,6,338.99,122.71,86301.88,0.2269,188,12.84,0.7751,
75,2026-02-04T15:47:44.502509,HotStuff,7,151.81,2305.78,724793.73,0.1842,188,12.84,0.7847,
76,2026-02-04T15:48:44.502509,PoW,8,326.25,1.0,10087.62,0.214,113,22.94,0.3909,
77,2026-02-04T15:48:44.502509,PoS,3,113.99,40.21,10805.09,0.2496,113,22.94,0.4364,
78,2026-02-04T15:48:44.502509,Raft,3,48.4,1421.04,284253.08,0.335,113,22.94,0.6243,
79,2026-02-04T15:48:44.502509,PBFT,6,160.1,183.58,103393.96,0.3229,113,22.94,0.7686,
80,2026-02-04T15:48:44.502509,HotStuff,7,44.04,18.02,3509.39,0.2835,113,22.94,0.7362,
81,2026-02-04T15:49:44.502509,PoW,8,183.8,1.0,11262.44,0.1251,153,5.57,0.3756,
82,2026-02-04T15:49:44.502509,PoS,3,99.26,1.0,266.76,0.1788,153,5.57,0.4331,
83,2026-02-04T15:49:44.502509,Raft,3,52.36,1.0,250.45,0.1511,153,5.57,0.5509,
84,2026-02-04T15:49:44.502509,PBFT,5,214.48,1.0,493.78,0.1534,153,5.57,0.7488,
85,2026-02-04T15:49:44.502509,HotStuff,7,42.44,1.0,414.35,0.1175,153,5.57,0.7438,
86,2026-02-04T15:50:44.502509,PoW,8,379.26,1.0,7890.57,0.1669,163,16.55,0.4275,
87,2026-02-04T15:50:44.502509,PoS,3,120.3,130.49,31532.76,0.2563,163,16.55,0.4299,
88,2026-02-04T15:50:44.502509,Raft,3,38.99,871.55,227690.82,0.2657,163,16.55,0.6326,attack_detected
89,2026-02-04T15:50:44.502509,PBFT,5,29.24,1.0,631.61,0.2761,163,16.55,0.7603,
90,2026-02-04T15:50:44.502509,HotStuff,7,34.38,1.0,345.54,0.1932,163,16.55,0.8132,
91,2026-02-04T15:51:44.502509,PoW,8,270.21,1.0,12920.09,0.1126,179,2.77,0.3855,
92,2026-02-04T15:51:44.502509,PoS,3,133.82,1.0,314.94,0.1548,179,2.77,0.4417,
93,2026-02-04T15:51:44.502509,Raft,3,45.42,1.0,239.2,0.1257,179,2.77,0.5468,
94,2026-02-04T15:51:44.502509,PBFT,4,183.93,260.98,182648.8,0.1608,179,2.77,0.7108,attack_detected
95,2026-02-04T15:51:44.502509,HotStuff,7,88.01,689.31,231622.37,0.1058,179,2.77,0.7512,
96,2026-02-04T15:52:44.502509,PoW,8,473.34,16.05,123071.03,0.0832,165,1.0,0.3784,
97,2026-02-04T15:52:44.502509,PoS,3,155.33,60.24,22791.99,0.1486,165,1.0,0.3879,
98,2026-02-04T15:52:44.502509,Raft,3,62.3,264.38,61394.68,0.154,165,1.0,0.5719,
99,2026-02-04T15:52:44.502509,PBFT,4,139.65,553.57,304193.0,0.1211,165,1.0,0.711,
100,2026-02-04T15:52:44.502509,HotStuff,7,27.13,342.5,166776.25,0.1118,165,1.0,0.7323,
101,2026-02-04T15:53:44.502509,PoW,8,231.54,28.51,310694.98,0.1334,163,10.12,0.392,
102,2026-02-04T15:53:44.502509,PoS,3,86.0,1.0,354.02,0.1843,163,10.12,0.4373,
103,2026-02-04T15:53:44.502509,Raft,4,45.79,336.42,119133.3,0.1687,163,10.12,0.5755,
104,2026-02-04T15:53:44.502509,PBFT,4,172.67,308.15,168487.85,0.1934,163,10.12,0.736,
105,2026-02-04T15:53:44.502509,HotStuff,7,86.57,1.0,436.53,0.2104,163,10.12,0.7551,
106,2026-02-04T15:54:44.502509,PoW,7,441.88,36.57,370926.59,0.1995,150,15.66,0.43,
107,2026-02-04T15:54:44.502509,PoS,3,166.23,521.73,147393.69,0.2694,150,15.66,0.4345,
108,2026-02-04T15:54:44.502509,Raft,4,53.44,258.83,64584.77,0.1981,150,15.66,0.6044,
109,2026-02-04T15:54:44.502509,PBFT,4,210.36,6.86,4805.33,0.2634,150,15.66,0.7746,
110,2026-02-04T15:54:44.502509,HotStuff,6,87.93,1.0,434.3,0.2071,150,15.66,0.7481,
111,2026-02-04T15:55:44.502509,PoW,6,284.5,93.93,773854.35,0.2104,200,22.85,0.3892,
112,2026-02-04T15:55:44.502509,PoS,3,132.58,1.0,289.3,0.2772,200,22.85,0.4806,
113,2026-02-04T15:55:44.502509,Raft,4,65.16,1364.59,220882.03,0.2819,200,22.85,0.6294,
114,2026-02-04T15:55:44.502509,PBFT,4,145.82,1.0,645.58,0.3296,200,22.85,0.808,
115,2026-02-04T15:55:44.502509,HotStuff,6,93.13,1222.27,519864.72,0.2574,200,22.85,0.816,
116,2026-02-04T15:56:44.502509,PoW,6,309.5,18.23,162563.44,0.2585,144,27.01,0.3986,
117,2026-02-04T15:56:44.502509,PoS,4,77.06,1.0,358.96,0.3168,144,27.01,0.4629,
118,2026-02-04T15:56:44.502509,Raft,5,40.54,1425.54,340833.27,0.3203,144,27.01,0.584,
119,2026-02-04T15:56:44.502509,PBFT,4,127.54,1.0,800.85,0.3447,144,27.01,0.8037,
120,2026-02-04T15:56:44.502509,HotStuff,7,125.91,413.98,195650.34,0.3078,144,27.01,0.8038,
121,2026-02-04T15:57:44.502509,PoW,6,496.75,78.42,864465.18,0.1181,196,8.03,0.3949,
122,2026-02-04T15:57:44.502509,PoS,3,111.0,278.92,93926.21,0.2188,196,8.03,0.4536,
123,2026-02-04T15:57:44.502509,Raft,5,56.83,654.82,134407.08,0.1722,196,8.03,0.6038,
124,2026-02-04T15:57:44.502509,PBFT,4,142.32,1.0,672.15,0.2379,196,8.03,0.7614,
125,2026-02-04T15:57:44.502509,HotStuff,7,110.08,131.08,52045.83,0.1746,196,8.03,0.7892,
126,2026-02-04T15:58:44.502509,PoW,5,368.08,1.0,8464.0,0.1245,146,5.94,0.3891,
127,2026-02-04T15:58:44.502509,PoS,3,114.24,437.72,106779.44,0.1416,146,5.94,0.4349,
128,2026-02-04T15:58:44.502509,Raft,6,48.01,233.65,54827.19,0.1674,146,5.94,0.5696,attack_detected
129,2026-02-04T15:58:44.502509,PBFT,4,52.1,643.52,355693.13,0.1811,146,5.94,0.7851,
130,2026-02-04T15:58:44.502509,HotStuff,7,86.19,1798.97,670061.26,0.1293,146,5.94,0.7372,
131,2026-02-04T15:59:44.502509,PoW,5,404.93,10.93,103346.49,0.0972,187,1.0,0.3386,
132,2026-02-04T15:59:44.502509,PoS,3,199.49,381.63,113331.34,0.1155,187,1.0,0.4503,
133,2026-02-04T15:59:44.502509,Raft,6,54.69,975.21,266024.61,0.1561,187,1.0,0.5831,
134,2026-02-04T15:59:44.502509,PBFT,5,186.67,466.42,288941.75,0.1807,187,1.0,0.7287,
135,2026-02-04T15:59:44.502509,HotStuff,6,71.0,266.28,113561.39,0.1238,187,1.0,0.7536,
136,2026-02-04T16:00:44.502509,PoW,5,442.28,29.78,241800.52,0.1734,185,14.46,0.4215,
137,2026-02-04T16:00:44.502509,PoS,3,111.54,1.0,355.2,0.2159,185,14.46,0.3987,
138,2026-02-04T16:00:44.502509,Raft,7,30.88,1809.91,496117.49,0.2353,185,14.46,0.6011,
139,2026-02-04T16:00:44.502509,PBFT,6,22.95,1.0,888.37,0.2834,185,14.46,0.7933,
140,2026-02-04T16:00:44.502509,HotStuff,6,96.89,1304.88,512924.17,0.1811,185,14.46,0.7557,
141,2026-02-04T16:01:44.502509,PoW,4,188.5,22.49,174603.15,0.0648,142,1.48,0.3967,
142,2026-02-04T16:01:44.502509,PoS,3,73.77,298.14,78558.52,0.1198,142,1.48,0.4107,
143,2026-02-04T16:01:44.502509,Raft,7,25.12,282.84,87166.34,0.1143,142,1.48,0.5541,
144,2026-02-04T16:01:44.502509,PBFT,7,185.11,140.43,79322.39,0.1237,142,1.48,0.7605,
145,2026-02-04T16:01:44.502509,HotStuff,7,18.98,1.0,412.9,0.0839,142,1.48,0.7292,
146,2026-02-04T16:02:44.502509,PoW,4,187.6,44.19,315855.72,0.3045,168,32.18,0.452,
147,2026-02-04T16:02:44.502509,PoS,4,183.51,1.0,355.52,0.3613,168,32.18,0.5148,
148,2026-02-04T16:02:44.502509,Raft,7,92.06,797.36,194297.78,0.3458,168,32.18,0.617,
149,2026-02-04T16:02:44.502509,PBFT,7,117.46,140.3,84762.54,0.404,168,32.18,0.8315,
150,2026-02-04T16:02:44.502509,HotStuff,6,5.0,1955.01,1053514.17,0.3167,168,32.18,0.7975,
151,2026-02-04T16:03:44.502509,PoW,4,365.9,13.53,92070.76,0.067,210,1.14,0.4168,
152,2026-02-04T16:03:44.502509,PoS,3,171.38,1.0,363.05,0.1755,210,1.14,0.4425,
153,2026-02-04T16:03:44.502509,Raft,8,64.75,417.78,140388.28,0.0934,210,1.14,0.5434,
154,2026-02-04T16:03:44.502509,PBFT,6,51.28,1.0,818.03,0.149,210,1.14,0.7635,
155,2026-02-04T16:03:44.502509,HotStuff,7,74.58,1622.07,702602.1,0.0815,210,1.14,0.7563,
156,2026-02-04T16:04:44.502509,PoW,5,375.79,10.92,107297.95,0.1532,188,11.34,0.4299,
157,2026-02-04T16:04:44.502509,PoS,3,179.08,106.26,23568.38,0.1985,188,11.34,0.4334,
158,2026-02-04T16:04:44.502509,Raft,8,68.6,241.84,56786.25,0.1719,188,11.34,0.5863,
159,2026-02-04T16:04:44.502509,PBFT,6,94.1,746.88,521475.4,0.2337,188,11.34,0.761,
160,2026-02-04T16:04:44.502509,HotStuff,6,44.31,1.0,399.7,0.18,188,11.34,0.7854,
161,2026-02-04T16:05:44.502509,PoW,6,61.62,1.0,5280.86,0.2421,222,22.27,0.4622,
162,2026-02-04T16:05:44.502509,PoS,3,73.16,1.0,206.42,0.2979,222,22.27,0.4854,
163,2026-02-04T16:05:44.502509,Raft,9,59.53,1466.81,384099.83,0.2693,222,22.27,0.6075,
164,2026-02-04T16:05:44.502509,PBFT,7,187.74,1.0,800.16,0.3048,222,22.27,0.8166,
165,2026-02-04T16:05:44.502509,HotStuff,6,67.29,1197.16,638433.85,0.2689,222,22.27,0.801,
166,2026-02-04T16:06:44.502509,PoW,7,366.31,34.77,410894.07,0.2341,233,23.42,0.4505,
167,2026-02-04T16:06:44.502509,PoS,3,58.58,522.21,124393.22,0.3311,233,23.42,0.5003,
168,2026-02-04T16:06:44.502509,Raft,10,89.13,1.0,270.06,0.3139,233,23.42,0.6519,
169,2026-02-04T16:06:44.502509,PBFT,6,231.46,1.0,663.92,0.358,233,23.42,0.8241,
170,2026-02-04T16:06:44.502509,HotStuff,6,100.81,1.0,254.92,0.3026,233,23.42,0.7853,
171,2026-02-04T16:07:44.502509,PoW,7,400.75,51.68,425718.22,0.0974,187,4.15,0.4288,
172,2026-02-04T16:07:44.502509,PoS,3,145.17,330.91,88781.01,0.1612,187,4.15,0.4127,
173,2026-02-04T16:07:44.502509,Raft,9,56.61,1524.6,521250.78,0.138,187,4.15,0.6308,
174,2026-02-04T16:07:44.502509,PBFT,5,182.32,341.02,266881.94,0.1704,187,4.15,0.724,
175,2026-02-04T16:07:44.502509,HotStuff,7,55.27,1.0,556.18,0.0943,187,4.15,0.7446,
176,2026-02-04T16:08:44.502509,PoW,7,352.66,1.0,8404.68,0.1219,230,9.15,0.4038,
177,2026-02-04T16:08:44.502509,PoS,4,157.08,670.07,225726.88,0.1648,230,9.15,0.4002,
178,2026-02-04T16:08:44.502509,Raft,10,39.52,1.0,266.17,0.204,230,9.15,0.6473,
179,2026-02-04T16:08:44.502509,PBFT,6,335.04,376.28,258864.25,0.1968,230,9.15,0.765,
180,2026-02-04T16:08:44.502509,HotStuff,7,62.99,1418.24,646037.41,0.1333,230,9.15,0.7521,
181,2026-02-04T16:09:44.502509,PoW,7,340.98,95.9,729752.76,0.2956,173,28.0,0.4649,
182,2026-02-04T16:09:44.502509,PoS,4,103.9,10.2,4733.57,0.3342,173,28.0,0.4525,
183,2026-02-04T16:09:44.502509,Raft,10,52.19,673.18,157219.93,0.3343,173,28.0,0.6242,
184,2026-02-04T16:09:44.502509,PBFT,6,60.9,130.7,101371.85,0.3519,173,28.0,0.8096,
185,2026-02-04T16:09:44.502509,HotStuff,6,36.76,1474.1,548999.08,0.2816,173,28.0,0.7725,
186,2026-02-04T16:10:44.502509,PoW,7,456.51,74.74,583126.61,0.068,187,5.51,0.4055,
187,2026-02-04T16:10:44.502509,PoS,3,144.72,140.98,26815.63,0.18,187,5.51,0.4063,
188,2026-02-04T16:10:44.502509,Raft,10,61.13,818.28,182931.7,0.1294,187,5.51,0.56,
189,2026-02-04T16:10:44.502509,PBFT,6,195.72,1.0,723.93,0.1876,187,5.51,0.7463,
190,2026-02-04T16:10:44.502509,HotStuff,7,42.61,1.0,467.94,0.0825,187,5.51,0.712,
191,2026-02-04T16:11:44.502509,PoW,7,359.14,3.68,24975.68,0.2855,213,30.86,0.4392,
192,2026-02-04T16:11:44.502509,PoS,3,142.78,210.82,50176.18,0.3846,213,30.86,0.4964,
193,2026-02-04T16:11:44.502509,Raft,9,92.84,569.66,162780.96,0.3492,213,30.86,0.6186,
194,2026-02-04T16:11:44.502509,PBFT,5,221.65,675.07,432020.44,0.3883,213,30.86,0.8361,
195,2026-02-04T16:11:44.502509,HotStuff,8,85.68,1.0,372.09,0.3019,213,30.86,0.8116,
196,2026-02-04T16:12:44.502509,PoW,7,393.96,8.45,57329.58,0.1839,256,16.01,0.4561,
197,2026-02-04T16:12:44.502509,PoS,4,211.15,293.13,88776.37,0.2549,256,16.01,0.4618,
198,2026-02-04T16:12:44.502509,Raft,10,88.21,1.0,362.32,0.1857,256,16.01,0.5947,
199,2026-02-04T16:12:44.502509,PBFT,4,251.74,1.0,705.21,0.2633,256,16.01,0.7829,
200,2026-02-04T16:12:44.502509,HotStuff,7,51.37,2634.87,1482000.43,0.2262,256,16.01,0.7804,
201,2026-02-04T16:13:44.502509,PoW,6,245.79,1.0,7424.6,0.0843,207,1.0,0.3915,
202,2026-02-04T16:13:44.502509,PoS,4,146.9,387.21,137571.56,0.108,207,1.0,0.4002,
203,2026-02-04T16:13:44.502509,Raft,11,86.61,744.17,274014.17,0.1162,207,1.0,0.5714,
204,2026-02-04T16:13:44.502509,PBFT,4,220.2,49.81,34515.19,0.1045,207,1.0,0.7497,
205,2026-02-04T16:13:44.502509,HotStuff,7,52.13,859.27,380762.94,0.1028,207,1.0,0.7371,
206,2026-02-04T16:14:44.502509,PoW,6,251.79,1.0,9918.92,0.1344,217,9.23,0.4067,
207,2026-02-04T16:14:44.502509,PoS,4,124.18,372.7,80709.99,0.2129,217,9.23,0.4815,
208,2026-02-04T16:14:44.502509,Raft,11,66.2,461.14,117330.39,0.1933,217,9.23,0.6114,
209,2026-02-04T16:14:44.502509,PBFT,5,190.27,1.0,478.99,0.2241,217,9.23,0.7981,
210,2026-02-04T16:14:44.502509,HotStuff,8,80.32,2962.69,1740511.93,0.1571,217,9.23,0.7285,
211,2026-02-04T16:15:44.502509,PoW,6,586.69,10.63,98134.35,0.1519,188,12.65,0.4171,
212,2026-02-04T16:15:44.502509,PoS,4,80.53,1.0,259.05,0.1931,188,12.65,0.4339,
213,2026-02-04T16:15:44.502509,Raft,12,36.22,450.0,123947.45,0.2076,188,12.65,0.6267,
214,2026-02-04T16:15:44.502509,PBFT,4,40.06,61.22,35624.97,0.2348,188,12.65,0.7521,
215,2026-02-04T16:15:44.502509,HotStuff,8,114.46,3086.99,955934.81,0.1474,188,12.65,0.7201,
216,2026-02-04T16:16:44.502509,PoW,6,172.54,1.0,11417.35,0.1221,203,7.63,0.3894,
217,2026-02-04T16:16:44.502509,PoS,4,28.53,69.26,20356.16,0.1765,203,7.63,0.4206,
218,2026-02-04T16:16:44.502509,Raft,12,81.97,1.0,305.82,0.1752,203,7.63,0.5978,
219,2026-02-04T16:16:44.502509,PBFT,3,210.68,1.0,482.81,0.2004,203,7.63,0.7566,
220,2026-02-04T16:16:44.502509,HotStuff,8,51.53,1.0,391.99,0.1675,203,7.63,0.7435,
221,2026-02-04T16:17:44.502509,PoW,6,294.09,1.0,9148.94,0.1432,224,6.41,0.4128,
222,2026-02-04T16:17:44.502509,PoS,4,143.89,90.7,27116.59,0.1974,224,6.41,0.4108,
223,2026-02-04T16:17:44.502509,Raft,12,115.41,1.0,242.37,0.1451,224,6.41,0.6039,
224,2026-02-04T16:17:44.502509,PBFT,4,259.49,1.0,419.58,0.2106,224,6.41,0.8003,
225,2026-02-04T16:17:44.502509,HotStuff,10,25.64,429.16,162306.22,0.1252,224,6.41,0.7521,
226,2026-02-04T16:18:44.502509,PoW,6,296.8,8.08,69602.76,0.0893,212,1.0,0.3933,
227,2026-02-04T16:18:44.502509,PoS,4,153.71,517.74,157433.76,0.0966,212,1.0,0.3888,
228,2026-02-04T16:18:44.502509,Raft,12,39.62,2673.71,968651.5,0.072,212,1.0,0.5531,
229,2026-02-04T16:18:44.502509,PBFT,4,102.89,50.6,22621.87,0.1265,212,1.0,0.7451,
230,2026-02-04T16:18:44.502509,HotStuff,10,157.27,1.0,625.67,0.0697,212,1.0,0.7433,
231,2026-02-04T16:19:44.502509,PoW,5,595.69,11.18,106625.97,0.089,182,1.59,0.3853,
232,2026-02-04T16:19:44.502509,PoS,3,124.98,305.0,94533.4,0.1552,182,1.59,0.4219,
233,2026-02-04T16:19:44.502509,Raft,13,34.17,1.0,315.52,0.07,182,1.59,0.6202,
234,2026-02-04T16:19:44.502509,PBFT,3,211.76,66.29,43423.46,0.1638,182,1.59,0.7473,
235,2026-02-04T16:19:44.502509,HotStuff,9,67.82,121.19,44434.85,0.11,182,1.59,0.7433,
236,2026-02-04T16:20:44.502509,PoW,5,461.07,1.0,5574.7,0.1027,195,5.83,0.4171,
237,2026-02-04T16:20:44.502509,PoS,3,162.47,329.43,85825.15,0.1826,195,5.83,0.4489,
238,2026-02-04T16:20:44.502509,Raft,13,117.38,832.78,246456.73,0.1434,195,5.83,0.5671,
239,2026-02-04T16:20:44.502509,PBFT,3,107.5,1.0,420.72,0.1866,195,5.83,0.7387,
240,2026-02-04T16:20:44.502509,HotStuff,10,116.68,1.0,341.71,0.1456,195,5.83,0.7488,
241,2026-02-04T16:21:44.502509,PoW,5,383.14,12.16,107674.32,0.2341,188,30.06,0.4415,
242,2026-02-04T16:21:44.502509,PoS,3,202.11,157.95,48869.33,0.37,188,30.06,0.4987,
243,2026-02-04T16:21:44.502509,Raft,12,129.99,765.99,203600.75,0.3266,188,30.06,0.6274,
244,2026-02-04T16:21:44.502509,PBFT,4,124.58,1.0,599.57,0.3739,188,30.06,0.8129,
245,2026-02-04T16:21:44.502509,HotStuff,10,104.73,1.0,295.88,0.3049,188,30.06,0.8166,
246,2026-02-04T16:22:44.502509,PoW,5,423.77,22.58,176288.7,0.049,204,2.9,0.3828,
247,2026-02-04T16:22:44.502509,PoS,3,186.88,396.12,118302.46,0.1309,204,2.9,0.4137,
248,2026-02-04T16:22:44.502509,Raft,12,102.65,209.92,68456.01,0.0944,204,2.9,0.5232,
249,2026-02-04T16:22:44.502509,PBFT,4,111.08,1.0,624.19,0.1698,204,2.9,0.7577,
250,2026-02-04T16:22:44.502509,HotStuff,9,91.19,2033.48,904018.85,0.078,204,2.9,0.7506,
251,2026-02-04T16:23:44.502509,PoW,4,236.64,1.0,6463.11,0.1635,208,13.53,0.4327,
252,2026-02-04T16:23:44.502509,PoS,3,97.39,133.17,42359.08,0.2237,208,13.53,0.4288,
253,2026-02-04T16:23:44.502509,Raft,12,5.0,3411.57,1035301.64,0.2087,208,13.53,0.6152,
254,2026-02-04T16:23:44.502509,PBFT,3,90.93,314.05,193689.84,0.2617,208,13.53,0.7919,
